FID,OBJECTID_1,stop_id,_id,stop_id_1,lat,lon,miss_c_0,wt_rr_0,wt_pr_0,dt_rr_0,dt_pr_0,mc_rr_0,mc_pr_0,bf_pr_0,mr_rr_0,mr_pr_0,miss_c_1,wt_rr_1,wt_pr_1,dt_rr_1,dt_pr_1,mc_rr_1,mc_pr_1,bf_pr_1,mr_rr_1,mr_pr_1,miss_c_2,wt_rr_2,wt_pr_2,dt_rr_2,dt_pr_2,mc_rr_2,mc_pr_2,bf_pr_2,mr_rr_2,mr_pr_2,miss_c_3,wt_rr_3,wt_pr_3,dt_rr_3,dt_pr_3,mc_rr_3,mc_pr_3,bf_pr_3,mr_rr_3,mr_pr_3,miss_c_4,wt_rr_4,wt_pr_4,dt_rr_4,dt_pr_4,mc_rr_4,mc_pr_4,bf_pr_4,mr_rr_4,mr_pr_4,miss_c_5,wt_rr_5,wt_pr_5,dt_rr_5,dt_pr_5,mc_rr_5,mc_pr_5,bf_pr_5,mr_rr_5,mr_pr_5,miss_c_6,wt_rr_6,wt_pr_6,dt_rr_6,dt_pr_6,mc_rr_6,mc_pr_6,bf_pr_6,mr_rr_6,mr_pr_6,miss_c_7,wt_rr_7,wt_pr_7,dt_rr_7,dt_pr_7,mc_rr_7,mc_pr_7,bf_pr_7,mr_rr_7,mr_pr_7,miss_c_8,wt_rr_8,wt_pr_8,dt_rr_8,dt_pr_8,mc_rr_8,mc_pr_8,bf_pr_8,mr_rr_8,mr_pr_8,miss_c_9,wt_rr_9,wt_pr_9,dt_rr_9,dt_pr_9,mc_rr_9,mc_pr_9,bf_pr_9,mr_rr_9,mr_pr_9,wt_er,wt_ar,wt_nr,mc_er,mc_nr,dt_er,total,layer,OBJECTID,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Le_1,Shape_Area
0,1,CARMAIS,5da33b2d0240d88053cd665d,CARMAIS,39.956018000000000,-82.784104999999997,0,1732.148100000000113,344.968717900000001,1778.548324000000093,157.535624200000001,9345,792,134.694182500000011,0.872630498000000,0.073956485000000,0,1388.551592000000028,425.976655100000016,1394.671397999999954,233.085535499999992,7257,1212,128.140816099999995,0.677654309000000,0.113175833000000,0,692.440750800000046,459.654029299999991,629.799701199999959,279.793257999999980,3171,1441,121.729386500000004,0.296106079000000,0.134559716000000,0,710.393314000000032,479.968344399999978,655.611074799999983,308.738537699999995,3313,1580,122.086095799999995,0.309365954000000,0.147539453000000,0,713.846951200000035,494.236530000000016,665.918759900000055,328.937622599999997,3378,1687,123.339247400000005,0.315435615000000,0.157531049000000,0,736.402091700000028,506.537585200000024,696.566439400000036,349.810439799999983,3517,1784,123.951816199999996,0.328415352000000,0.166588850000000,0,742.031748999999991,515.410682599999973,710.870202599999971,371.106826000000012,3583,1900,119.613409300000001,0.334578392000000,0.177420861000000,0,761.450368799999978,534.358670299999972,740.667009099999973,403.202259799999979,3745,2065,115.681202700000000,0.349705855000000,0.192828462000000,0,779.809225900000001,557.030068199999960,769.634512999999970,441.744607299999984,3903,2265,113.307498400000000,0.364459800000000,0.211504342000000,0,790.955271300000049,587.890559299999950,790.644878100000028,479.804930399999989,4004,2462,120.041086899999996,0.373891120000000,0.229900084000000,316.948361200000022,914.500093399999969,187.546362899999991,1255,219,343.403118899999981,10709,9,0,0.000000000000000,0,0.000000000000000,0.042716722432500,0.000145193781469
1,2,GOLHILW,5da33b2d0240d88053cd665e,GOLHILW,39.957746000000000,-82.782274000000001,0,1374.091053000000102,401.622525199999984,1367.294732999999951,194.804071700000009,7119,1001,139.805752699999999,0.664830034000000,0.093481509000000,0,702.817332800000031,452.872805400000004,627.558647700000051,259.110851700000012,3169,1339,131.614680600000014,0.295946956000000,0.125046694000000,0,723.943033199999945,480.119817000000012,656.924635800000033,295.014475199999993,3331,1518,132.274934599999995,0.311075831000000,0.141763168000000,0,730.151288799999975,490.384759099999997,670.242248799999970,311.872245099999986,3407,1596,133.114493799999991,0.318173328000000,0.149047441000000,0,753.969742200000042,505.081901399999992,702.212924899999962,334.744396699999982,3560,1715,133.783152800000011,0.332461711000000,0.160160628000000,0,757.873552499999960,520.800803100000053,714.911468099999979,363.317332799999974,3616,1855,129.563877499999990,0.337691446000000,0.173234965000000,0,778.582835300000056,541.270825599999966,746.018210700000054,395.861972400000013,3779,2020,127.190885300000005,0.352913709000000,0.188644004000000,0,797.941819200000054,556.315465099999983,776.024841199999969,427.662308600000017,3944,2192,122.632611100000005,0.368322749000000,0.204706761000000,0,805.994863699999996,587.055099000000041,793.924075499999958,466.814157599999987,4028,2388,128.479641399999991,0.376167352000000,0.223010833000000,0,824.983283499999970,613.394471400000043,824.897179700000038,511.118229400000018,4169,2597,123.986738900000006,0.389335077000000,0.242528950000000,318.748225600000012,915.084236099999998,184.788756100000001,1252,227,339.838625299999990,10708,9,0,0.000000000000000,0,0.000000000000000,0.042716722432500,0.000145193781469
2,3,GRAMOUS,5da33b2d0240d88053cd665f,GRAMOUS,39.956566000000002,-82.989874999999998,0,564.053933899999947,222.054180900000006,571.190744799999948,73.804232369999994,14162,1817,185.453497499999997,0.583062292000000,0.074807526000000,0,623.457943900000032,233.708592399999986,646.024826100000041,85.354316769999997,15830,2101,191.962616800000006,0.651735353000000,0.086500062000000,0,662.457243999999946,241.254930199999990,696.701263899999958,86.978508790000006,17014,2124,200.477994200000012,0.700481700000000,0.087446992000000,0,712.071472699999958,243.642842400000006,761.042117800000028,86.931162250000000,18895,2100,202.658816699999988,0.777924163000000,0.086458891000000,0,709.825929399999950,246.370044100000001,767.240808600000037,91.504261189999994,19544,2208,204.501626299999998,0.804644078000000,0.090905348000000,0,689.527234600000043,251.903289599999994,749.226892799999973,98.524517270000004,19268,2370,206.500061799999997,0.793280909000000,0.097575034000000,0,657.641771999999946,255.076824899999991,719.358598499999971,100.966116299999996,18438,2431,210.983572799999990,0.759109062000000,0.100086459000000,0,640.419737299999952,260.114208099999985,700.283255800000006,106.584215099999994,17784,2595,215.403268999999995,0.732183293000000,0.106838487000000,0,647.714191600000049,263.956770600000027,710.663921899999991,111.066408699999997,17860,2686,217.880110300000013,0.735312281000000,0.110585038000000,0,649.914652700000033,268.683025199999975,717.915105599999947,111.367697300000003,18133,2731,222.300629899999990,0.746551937000000,0.112437729000000,225.656017100000014,441.737000299999977,233.999300099999999,3367,2371,241.589773100000002,24289,9,0,0.000000000000000,0,0.000000000000000,0.042716722432500,0.000145193781469
3,4,HANMAIN,5da33b2d0240d88053cd6660,HANMAIN,39.956665999999998,-82.779030000000006,0,1612.661104999999907,474.888953899999990,1671.378414999999904,380.762587800000006,7803,1488,179.875097600000004,0.761416862000000,0.145199063000000,0,1634.651444000000083,546.382416100000000,1702.857142999999951,458.390222499999993,7937,1843,181.200234200000011,0.774492584000000,0.179839969000000,0,1642.093481999999995,574.869828299999995,1718.202770999999984,492.911299799999995,8018,1998,182.798594799999989,0.782396565000000,0.194964871000000,0,1644.185109000000011,601.213602700000024,1727.819964999999911,521.904273999999987,8063,2120,187.827868899999999,0.786787666000000,0.206869633000000,0,1645.235363000000007,627.708040600000004,1736.407396999999946,563.062060900000006,8097,2311,181.094847799999997,0.790105386000000,0.225507416000000,0,1647.656811000000062,648.791373900000053,1747.892955000000029,596.820062499999949,8158,2469,177.084309100000013,0.796057767000000,0.240925059000000,0,1648.260148000000072,672.745218600000044,1757.115925000000061,634.089383300000009,8193,2642,177.084309100000013,0.799473068000000,0.257806401000000,0,1647.665886000000000,702.532884500000023,1764.590846999999940,675.909738500000003,8228,2844,174.824355999999995,0.802888368000000,0.277517564000000,0,1647.198380000000043,725.284445699999992,1774.171350999999959,715.949453599999970,8269,3042,169.288641699999999,0.806889149000000,0.296838407000000,0,1641.634270000000015,761.578649499999983,1781.734386999999970,767.876463700000045,8316,3300,171.042154600000003,0.811475410000000,0.322014052000000,409.674765799999989,876.471262700000011,379.640905499999974,930,1579,189.721409099999988,10248,9,0,0.000000000000000,0,0.000000000000000,0.042716722432500,0.000145193781469
4,5,HIG13TN,5da33b2d0240d88053cd6661,HIG13TN,39.997729000000000,-83.007506000000006,0,778.394136900000035,240.928085299999992,819.500492000000008,78.113735140000003,20647,1849,193.518245199999996,0.846535465000000,0.075809758000000,0,650.957154599999967,255.266092700000002,681.823329199999989,91.023042230000001,17202,2154,198.551045499999987,0.705289053000000,0.088314883000000,0,643.778105800000048,267.879663800000003,677.070725700000025,99.055350550000000,17023,2338,205.262402600000001,0.697949979000000,0.095858959000000,0,662.479950799999983,277.989626900000019,705.578433799999971,107.758220600000001,17790,2568,209.205002100000002,0.729397294000000,0.105289053000000,0,637.710496100000000,285.611644099999978,680.791225899999972,111.438048400000000,17165,2720,213.102500999999990,0.703772038000000,0.111521115000000,0,623.238130400000045,292.153587500000015,665.843296399999986,117.276793799999993,16716,2894,212.113161100000013,0.685362854000000,0.118655187000000,0,627.556129599999963,302.286428899999976,675.598851999999965,118.290323900000004,16837,2904,217.081590799999987,0.690323903000000,0.119065191000000,0,616.081385800000021,309.019680199999982,666.161500599999954,117.661254600000007,16627,2896,218.651496500000007,0.681713817000000,0.118737187000000,0,609.506355099999951,310.759573600000010,660.661541599999964,116.036121399999999,16477,2873,217.770397699999990,0.675563756000000,0.117794178000000,0,590.346002500000054,313.126035300000012,636.860188600000015,114.691102900000004,15937,2851,218.759737599999994,0.653423534000000,0.116892169000000,264.833251299999972,449.147703999999976,279.693562900000018,3414,986,332.469167700000014,24390,9,0,0.000000000000000,0,0.000000000000000,0.042716722432500,0.000145193781469
5,6,HIG15TN,5da33b2d0240d88053cd6662,HIG15TN,40.000284999999998,-83.007988999999995,0,769.862238599999955,216.754530499999987,829.946494499999972,74.391061910000005,20811,1790,173.787207899999999,0.853259533000000,0.073390734000000,0,793.413530100000003,235.826896299999987,861.227962299999945,88.574456740000002,21935,2083,180.617876200000012,0.899343993000000,0.085403854000000,0,711.363632599999960,247.520008200000007,770.492947899999990,97.086879870000004,19724,2303,186.506765099999996,0.808692087000000,0.094423944000000,0,660.433374299999969,259.463960600000007,716.122550199999978,108.307872099999997,18136,2528,189.024600200000009,0.743583436000000,0.103649036000000,0,660.356539600000019,267.512054100000000,720.364698599999997,112.444280399999997,18158,2693,195.631816299999997,0.744485445000000,0.110414104000000,0,655.572611700000039,275.191061900000022,722.012464099999988,120.146494500000003,18279,2899,197.665436699999987,0.749446494000000,0.118860189000000,0,637.580524800000035,280.061500599999988,702.791963900000042,119.634891300000007,17708,2974,200.437474400000013,0.726035260000000,0.121935219000000,0,628.853300500000046,288.625379300000020,696.022919200000047,126.271668700000006,17440,3090,199.731447300000013,0.715047150000000,0.126691267000000,0,626.607585100000051,294.469044699999984,696.733989299999962,124.540549400000003,17382,3065,202.201721999999990,0.712669127000000,0.125666257000000,0,613.682861799999955,298.089831899999979,685.711890100000005,126.753054500000005,17180,3105,200.024600200000009,0.704387044000000,0.127306273000000,265.538089399999990,449.352952000000016,285.476752799999986,3419,1158,331.242394400000023,24390,9,0,0.000000000000000,0,0.000000000000000,0.042716722432500,0.000145193781469
6,7,HIG2NDN,5da33b2d0240d88053cd6663,HIG2NDN,39.983317999999997,-83.004658000000006,0,682.043835199999990,228.785831599999995,736.004884299999958,72.729765229999998,18474,1688,188.660728900000009,0.758249877000000,0.069282548000000,0,710.467451999999980,243.164546099999995,770.672139199999947,81.052782789999995,19320,1939,192.818092299999989,0.792973239000000,0.079584633000000,0,700.537021800000048,249.439788200000010,765.208955800000012,85.961418490000000,19189,2067,192.777458499999995,0.787596454000000,0.084838286000000,0,682.035256900000036,248.593047100000007,744.614513200000033,93.117509440000006,18690,2209,188.493268800000010,0.767115416000000,0.090666557000000,0,681.552249200000006,254.427146599999986,741.714578899999992,97.299499260000005,18582,2274,188.995649299999997,0.762682647000000,0.093334428000000,0,686.183959899999991,269.235265099999992,745.156583500000011,100.231530100000001,18764,2344,195.219175799999988,0.770152684000000,0.096207519000000,0,672.135979300000031,283.880356300000017,727.101379100000031,103.198366399999998,18111,2372,198.883598799999987,0.743350846000000,0.097356756000000,0,646.931456199999957,296.147102299999972,701.256402900000012,111.352856700000004,17492,2451,196.384009200000008,0.717944508000000,0.100599245000000,0,666.692907600000012,300.487112099999990,735.219627299999956,121.242817299999999,18211,2588,192.671154199999989,0.747455262000000,0.106222295000000,0,628.318051200000014,304.358520800000008,689.239205399999946,126.812387099999995,17055,2685,195.496634400000005,0.700008209000000,0.110203579000000,243.130684599999995,448.103862300000003,270.611270699999977,3277,1296,305.976235400000007,24364,9,0,0.000000000000000,0,0.000000000000000,0.042716722432500,0.000145193781469
7,8,HIG4THN,5da33b2d0240d88053cd6664,HIG4THN,39.985182999999999,-83.005031000000002,0,650.954933500000038,234.548514200000000,688.719545199999970,67.088450170000002,17236,1610,205.139960599999995,0.707437202000000,0.066081103000000,0,697.667870600000015,246.593867999999986,746.812551299999996,76.443687409999995,18885,1848,208.190362800000003,0.775119028000000,0.075849614000000,0,696.102446200000031,255.006854400000009,750.751723900000002,81.914874400000002,18886,2013,207.534066700000011,0.775160072000000,0.082621901000000,0,678.145255300000031,252.992160600000005,732.695616500000028,86.503365619999997,18503,2116,202.060827499999988,0.759440158000000,0.086849450000000,0,682.464209500000038,260.361065499999995,738.719093700000030,92.338285999999997,18632,2205,203.248235099999988,0.764734855000000,0.090502381000000,0,682.986250199999972,264.786693500000013,733.536570299999994,95.154367100000002,18450,2282,204.392956800000007,0.757264817000000,0.093662781000000,0,683.216261700000018,284.094237399999997,732.649934300000041,92.719093740000005,18521,2223,213.517895299999992,0.760178953000000,0.091241176000000,0,651.130807699999991,296.752832000000012,695.425710099999947,101.692168800000005,17438,2350,210.914053499999994,0.715728123000000,0.096453784000000,0,668.221269099999972,299.850270899999998,722.045641100000012,111.385650999999996,17997,2495,204.438515800000005,0.738671811000000,0.102405188000000,0,642.874815300000023,307.953209700000002,696.010671499999944,119.324577199999993,17239,2570,206.099162699999994,0.707560335000000,0.105483500000000,243.079010000000011,448.379042900000002,272.640658299999984,3290,1388,305.964825200000007,24364,9,0,0.000000000000000,0,0.000000000000000,0.042716722432500,0.000145193781469
8,9,HIG522N,5da33b2d0240d88053cd6665,HIG522N,40.068606000000003,-83.019063000000003,0,497.464897199999996,185.630621800000000,498.513803600000017,8.290161382999999,12688,282,192.000901099999993,0.519701810000000,0.011550750000000,0,688.739329900000030,211.691406599999993,699.815597600000046,30.159048089999999,17946,818,201.083804399999991,0.735070042000000,0.033505366000000,0,660.440525900000011,226.591259100000002,666.204554799999983,42.898910460000003,16110,1106,205.860571800000002,0.659867289000000,0.045301876000000,0,684.360735599999998,236.011100199999987,703.670680800000014,51.272179899999998,17344,1277,210.405505000000005,0.710412059000000,0.052306054000000,0,679.199229999999943,244.996886999999987,705.943884700000012,60.732571479999997,17453,1495,211.721143600000005,0.714876710000000,0.061235357000000,0,630.183419299999969,259.664086199999986,643.712869700000056,59.756000659999998,15429,1486,221.806340599999999,0.631973458000000,0.060866716000000,0,639.769312700000000,258.515400999999997,661.123248999999987,63.189481450000002,15927,1592,218.117883199999994,0.652371590000000,0.065208487000000,0,635.687720199999944,261.268165800000020,659.923363600000016,70.298066680000005,15895,1737,216.611370499999992,0.651060867000000,0.071147702000000,0,636.852543599999990,264.505939200000000,666.543909200000030,77.017039400000002,16161,1868,219.683787999999993,0.661956255000000,0.076513476000000,0,633.179651000000035,269.375767999999994,662.071024800000032,78.454861960000002,15897,1889,225.414106699999991,0.651142787000000,0.077373638000000,259.143933800000013,450.138076500000011,273.223191600000007,3235,1085,306.514540800000020,24414,9,0,0.000000000000000,0,0.000000000000000,0.042716722432500,0.000145193781469
9,10,HIG5THN,5da33b2d0240d88053cd6666,HIG5THN,39.987608999999999,-83.005523999999994,0,523.099696300000005,205.837300900000002,535.832252499999981,31.525939910000002,13397,770,210.941963600000008,0.549868659000000,0.031604006000000,0,692.221843700000022,229.252996200000013,722.584879300000011,43.776555569999999,18179,1103,221.388113599999997,0.746141849000000,0.045271712000000,0,697.233787600000028,240.394598599999995,732.846207499999991,52.809596130000003,18399,1356,222.229519000000010,0.755171565000000,0.055655886000000,0,699.074331000000029,248.755828299999990,739.768059399999970,57.725127239999999,18561,1488,222.786077799999987,0.761820719000000,0.061073715000000,0,687.897471699999983,249.824700400000012,727.799458200000004,62.699720900000003,18298,1575,219.204153700000006,0.751026104000000,0.064644558000000,0,686.769988499999954,252.028197299999988,725.114020699999969,67.215399770000005,18203,1676,216.974224300000003,0.747126909000000,0.068790018000000,0,685.589312100000029,263.549253000000022,719.617386300000021,68.264201279999995,18052,1700,222.970366100000007,0.740929240000000,0.069775078000000,0,675.687776999999983,277.149400800000024,706.904818599999999,69.765350519999998,17674,1698,225.496223899999990,0.725414546000000,0.069692990000000,0,659.804999199999997,284.343950099999972,689.114061699999979,74.301756690000005,17299,1757,222.609177499999987,0.710022985000000,0.072114595000000,0,666.167049700000007,290.037391200000002,701.982843499999944,83.190937450000007,17364,1888,217.441306800000007,0.712690855000000,0.077491381000000,235.477795100000009,448.224224300000003,238.984813699999989,3214,667,302.398579900000016,24364,9,0,0.000000000000000,0,0.000000000000000,0.042716722432500,0.000145193781469
